laptop id,company,product,typename,inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,Price_euros
L1055,HP,Spectre x360 13,Ultrabook,13.6,2560x1440 IPS Quad HD,Ryzen 7 7840U,16GB,Intel Arc iGPU,Windows 11 Pro,1.33,1135.31
L1056,Huawei,MateBook X X1,Business,13.6,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7840U,32GB,Intel Arc iGPU,Windows 11 Pro,1.23,1388.59
L1057,Apple,MacBook Pro X1,Gaming,16.1,2880x1800 IPS Touchscreen 2.8K,Apple M3 Max,64GB,Apple M3 10‑core GPU,macOS,1.97,3078.45
L1058,Toshiba,Dynabook Portege X1,Netbook,14,1920x1080 IPS Full HD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4060,Windows 11,1.67,1724.42
L1059,Avita,Liber V 14,Business,13.3,3840x2160 IPS 4K UHD,Ryzen 7 8840U,48GB,AMD Radeon 780M,Windows 11,1.25,1807.16
L1060,Microsoft,Surface Laptop 15,Gaming,15.6,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7735HS,32GB,Apple M3 10‑core GPU,Windows 11,1.64,1753.48
L1061,Gigabyte,AERO 7,Workstation,17,3840x2160 Touchscreen 4K UHD,Core i5-1340P,24GB,Intel Arc iGPU,Windows 11,2.19,1484.17
L1062,Avita,Pura Plus,2 in 1 Convertible,15.6,3840x2160 IPS Touchscreen 4K UHD,Core i7-13700H,24GB,NVIDIA GeForce RTX 3050,Ubuntu 24.04,1.91,1899.8
L1063,Lenovo,Yoga 15,Business,13.3,2880x1800 IPS 2.8K,Core i5-1340P,48GB,Apple M3 10‑core GPU,ChromeOS,1.15,1812.91
L1064,Huawei,MateBook 14 16,Ultrabook,16.1,3000x2000 IPS 3K,Ryzen 5 7640U,16GB,AMD Radeon 760M,Windows 11 Pro,1.84,1145.29
L1065,Apple,MacBook Pro 13,Netbook,14.5,2880x1800 IPS 2.8K,Apple M2,16GB,Apple M2 10‑core GPU,macOS,1.54,1305.03
L1066,HP,Pavilion 16,Business,14,2880x1800 IPS 2.8K,Core i7-1360P,8GB,AMD Radeon 780M,Windows 11,1.27,1220.22
L1067,Dell,XPS 15,Notebook,15,2560x1440 IPS Quad HD,Ryzen 7 8840U,8GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.55,1212.56
L1068,Razer,Blade Stealth 13,Netbook,13.6,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7840U,48GB,AMD Radeon 780M,Windows 11,1.39,1871.1
L1069,Acer,Aspire Pro,2 in 1 Convertible,16.1,3840x2160 IPS Touchscreen 4K UHD,Ryzen 5 7640U,24GB,AMD Radeon 760M,Ubuntu 24.04,1.82,1286.61
L1070,Gigabyte,G6 15,Gaming,14.5,3000x2000 IPS Touchscreen 3K,Ryzen 7 7735HS,64GB,NVIDIA GeForce RTX 4050,Ubuntu 24.04,1.86,2311.89
L1071,Acer,Aspire,Ultrabook,16.1,2560x1440 IPS Quad HD,Ryzen 5 7640U,64GB,AMD Radeon 780M,Windows 11 Pro,1.95,2020.97
L1072,Acer,Nitro 13,Gaming,13.6,3000x2000 IPS Touchscreen 3K,Core Ultra 7 165H,32GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.6,2882.2
L1073,LG,Ultra PC 15,Workstation,17,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,8GB,Intel Arc iGPU,ChromeOS,2.23,1179.79
L1074,Huawei,MateBook X X1,Gaming,15,2560x1600 Touchscreen WQXGA (HD quality),Core i9-13900H,24GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.86,2462.61
L1075,Huawei,MateBook D 14,Notebook,15.6,1920x1080 IPS Full HD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Windows 11,1.67,1330.25
L1076,Apple,MacBook Pro 16,Notebook,17,3000x2000 IPS Touchscreen 3K,Apple M3 Pro,48GB,Apple M3 10‑core GPU,macOS,2.23,2313.06
L1077,MSI,Prestige 16,Business,13.6,3200x2000 Touchscreen 3.2K,Ryzen 5 7640U,16GB,Intel Arc iGPU,Windows 11,1.21,972.01
L1078,Samsung,Galaxy Book Pro X1,Notebook,15,2560x1440 IPS Touchscreen Quad HD,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.91,2748.39
L1079,Huawei,MateBook D 14,2 in 1 Convertible,16,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7735HS,64GB,Intel Iris Xe,Windows 11,1.71,2197.43
L1080,LG,Ultra PC 15,Workstation,15.6,2560x1440 Touchscreen Quad HD,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 22.04,2.08,2648.68
L1081,Apple,MacBook Air 13,Workstation,14,3000x2000 IPS 3K,Apple M2,64GB,Apple M2 10‑core GPU,macOS,1.3,2262.44
L1082,Lenovo,ThinkPad T,Notebook,16,2560x1440 IPS Quad HD,Ryzen 5 7640U,48GB,Intel Arc iGPU,Windows 11,1.87,1701.79
L1083,Dell,Latitude 15,Chromebook,14,2560x1440 IPS Touchscreen Quad HD,Core i7-1360P,24GB,AMD Radeon 760M,Windows 11 Pro,1.34,1696.2
L1084,LG,Gram 15,Business,15.6,2560x1440 IPS Touchscreen Quad HD,Core i7-13700H,32GB,AMD Radeon 760M,Windows 11,1.64,1950.62
L1085,Gigabyte,AERO 7,Workstation,14.5,2880x1800 IPS 2.8K,Ryzen 7 7840U,24GB,AMD Radeon 780M,Windows 11,1.44,1319.14
L1086,Dell,Alienware m 7,Netbook,15,3200x2000 IPS 3.2K,Ryzen 7 7840U,64GB,AMD Radeon 780M,Ubuntu 24.04,1.5,2332.45
L1087,Samsung,Galaxy Book,2 in 1 Convertible,16.1,2880x1800 IPS 2.8K,Core Ultra 7 155H,24GB,Apple M3 10‑core GPU,Windows 11,1.85,1755.58
L1088,Gigabyte,G5 X1,Ultrabook,13.6,3000x2000 IPS 3K,Core i5-1340P,24GB,Intel Iris Xe,Ubuntu 22.04,1.32,1347.07
L1089,Apple,MacBook Air 15,Business,15.6,1920x1080 Touchscreen Full HD,Apple M3,16GB,Apple M3 10‑core GPU,macOS,1.57,1349.82
L1090,Gigabyte,G6 16,Workstation,14.5,3200x2000 Touchscreen 3.2K,Ryzen 5 7640U,32GB,AMD Radeon 760M,Windows 11,1.41,1341.51
L1091,Acer,Nitro 15,Netbook,16.1,2560x1440 Touchscreen Quad HD,Core Ultra 7 155H,8GB,NVIDIA GeForce RTX 4050,Windows 11,2.16,1729.47
L1092,Dell,XPS Pro,Chromebook,14,2560x1440 IPS Touchscreen Quad HD,Core Ultra 9 185H,24GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.55,2546.52
L1093,Samsung,Galaxy Book 13,Netbook,14.5,3000x2000 IPS 3K,Core i5-1340P,48GB,Apple M3 10‑core GPU,Windows 11,1.36,1789.57
L1094,Microsoft,Surface Laptop,Chromebook,14.5,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,8GB,Apple M3 10‑core GPU,Windows 11 Pro,1.35,990.53
L1095,Avita,Pura 7,Gaming,13.3,3200x2000 IPS 3.2K,Core i5-1340P,16GB,Intel Iris Xe,Ubuntu 22.04,1.3,1155.22
L1096,Lenovo,ThinkPad T 15,Gaming,15,2880x1800 IPS 2.8K,Ryzen 7 7840U,48GB,Intel Iris Xe,Windows 11,1.52,1898.36
L1097,Gigabyte,G5 X1,Gaming,13.6,3840x2160 IPS 4K UHD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.59,1477.53
L1098,HP,OMEN 13,Business,14.5,3200x2000 IPS 3.2K,Ryzen 7 7735HS,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,ChromeOS,2.1,3239.23
L1099,Acer,Nitro 14,2 in 1 Convertible,16.1,2880x1800 IPS 2.8K,Ryzen 7 8840U,24GB,AMD Radeon 780M,Windows 11,1.84,1408.42
L1100,Gigabyte,G6 13,Notebook,14,1920x1080 IPS Full HD,Core i9-13900H,32GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.51,3293.85
L1101,Gigabyte,AORUS 15,Ultrabook,17,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 9 185H,48GB,NVIDIA GeForce RTX 4060,Windows 11,2.47,2967.7
L1102,HP,Spectre x360 X1,Chromebook,14.5,2560x1440 IPS Quad HD,Core i9-13900H,16GB,NVIDIA GeForce RTX 3050,Windows 11,1.91,2031.4
L1103,ASUS,ROG Zephyrus,Ultrabook,13.3,3840x2160 IPS 4K UHD,Core Ultra 5 125H,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.7,2057.07
L1104,Avita,Pura,Ultrabook,14,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 5 7640U,48GB,AMD Radeon 780M,Ubuntu 24.04,1.28,1620.95
L1105,HP,EliteBook Plus,Chromebook,15,2880x1800 IPS Touchscreen 2.8K,Core Ultra 7 165H,16GB,AMD Radeon 780M,Windows 11,1.51,1520.95
L1106,Microsoft,Surface Laptop Studio 7,Ultrabook,13.3,3000x2000 IPS 3K,Core i5-1340P,16GB,AMD Radeon 760M,Windows 11 Pro,1.17,1304.11
L1107,ASUS,ExpertBook 14,Business,16,3000x2000 IPS 3K,Core i5-13500H,16GB,Apple M3 10‑core GPU,Windows 11 Pro,1.77,1216.37
L1108,ASUS,VivoBook Plus,Business,13.3,3000x2000 IPS Touchscreen 3K,Core i7-13700H,8GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.75,1452.21
L1109,Razer,Blade 14,Notebook,13.3,2560x1600 IPS WQXGA (HD quality),Core i5-13500H,24GB,Intel Arc iGPU,Ubuntu 22.04,1.2,1465.33
L1110,Toshiba,Dynabook Tecra Pro,Chromebook,16.1,2560x1440 IPS Touchscreen Quad HD,Core i5-13500H,64GB,Apple M3 10‑core GPU,Windows 11 Pro,1.85,2190.13
L1111,Dell,Inspiron X1,Workstation,14,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,24GB,NVIDIA GeForce RTX 4050,Ubuntu 22.04,1.74,1988.68
L1112,Lenovo,ThinkPad X 16,Workstation,13.6,2880x1800 IPS 2.8K,Ryzen 7 8840U,64GB,AMD Radeon 760M,Windows 11 Pro,1.34,2132.62
L1113,Apple,MacBook Air 13,Netbook,15.6,3000x2000 IPS Touchscreen 3K,Apple M3,24GB,Apple M3 10‑core GPU,macOS,1.59,1582.51
L1114,Huawei,MateBook D 13,Chromebook,16,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,48GB,Apple M3 10‑core GPU,ChromeOS,1.81,1969.12
L1115,Apple,MacBook Air 15,2 in 1 Convertible,17,3200x2000 IPS Touchscreen 3.2K,Apple M3,24GB,Apple M3 10‑core GPU,macOS,2.17,1646.42
L1116,Samsung,Galaxy Book3,Netbook,13.3,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i5-1340P,16GB,Intel Iris Xe,ChromeOS,1.19,1159.46
L1117,Acer,Aspire Pro,Workstation,15.6,3200x2000 IPS 3.2K,Ryzen 7 7840U,16GB,Intel Arc iGPU,Windows 11 Pro,1.66,1253.76
L1118,Gigabyte,AERO Pro,Ultrabook,14.5,2560x1440 IPS Touchscreen Quad HD,Core Ultra 9 185H,32GB,NVIDIA GeForce RTX 4070,Windows 11,1.65,2784.52
L1119,Dell,XPS Plus,Chromebook,15.6,2880x1800 IPS 2.8K,Ryzen 7 7735HS,32GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.73,1657.13
L1120,Apple,MacBook Air 13,Netbook,16,1920x1080 IPS Touchscreen Full HD,Apple M3,48GB,Apple M3 10‑core GPU,macOS,1.8,2001.71
L1121,Huawei,MateBook X G16,Chromebook,16.1,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 7735HS,8GB,AMD Radeon 760M,ChromeOS,1.98,1138.42
L1122,MSI,Creator Plus,Netbook,14,1920x1080 IPS Full HD,Ryzen 7 7735HS,8GB,Apple M3 10‑core GPU,Windows 11 Pro,1.27,937.99
L1123,Lenovo,Yoga Pro,Chromebook,15.6,3840x2160 IPS 4K UHD,Core i5-13500H,16GB,NVIDIA GeForce RTX 4050,ChromeOS,2.09,1419.56
L1124,Samsung,Galaxy Book Pro G16,Netbook,16,1920x1080 IPS Full HD,Ryzen 5 7640U,64GB,AMD Radeon 780M,Windows 11 Pro,1.89,2025.57
L1125,Acer,Swift G16,2 in 1 Convertible,16.1,2880x1800 Touchscreen 2.8K,Ryzen 5 7640U,48GB,Intel Arc iGPU,Windows 11,1.89,1810.05
L1126,Apple,MacBook Air 13,Netbook,16,2880x1800 IPS Touchscreen 2.8K,Apple M2,8GB,Apple M2 10‑core GPU,macOS,1.78,1289.04
L1127,Dell,Latitude 15,Notebook,14,3840x2160 IPS 4K UHD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Ubuntu 22.04,1.34,1384.14
L1128,LG,Ultra PC X1,Gaming,14.5,3000x2000 Touchscreen 3K,Ryzen 5 7640U,8GB,Intel Iris Xe,Windows 11,1.51,1028.07
L1129,Gigabyte,AORUS G16,Workstation,14.5,2880x1800 IPS Touchscreen 2.8K,Core i5-13500H,8GB,NVIDIA GeForce RTX 4060,Windows 11,1.7,1358.7
L1130,Huawei,MateBook D Plus,Ultrabook,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i5-1340P,24GB,Apple M3 10‑core GPU,Windows 11,2.24,1428.9
L1131,ASUS,ExpertBook 14,Business,16,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 8840U,48GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.72,1917.89
L1132,HP,EliteBook G16,Business,14.5,2560x1440 Touchscreen Quad HD,Core i5-1340P,8GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.54,1015.77
L1133,Dell,Inspiron 15,Workstation,14,3840x2160 Touchscreen 4K UHD,Ryzen 7 7735HS,48GB,Intel Arc iGPU,Windows 11,1.45,1911.49
L1134,MSI,Prestige 7,Business,13.3,3200x2000 Touchscreen 3.2K,Core Ultra 9 185H,24GB,NVIDIA GeForce RTX 4050,Windows 11,1.61,2288.02
L1135,LG,Gram Pro,Gaming,17,3840x2160 IPS 4K UHD,Ryzen 5 7640U,24GB,AMD Radeon 760M,Ubuntu 22.04,2.3,1487.29
L1136,Razer,Blade Stealth G16,Ultrabook,17,3840x2160 IPS 4K UHD,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,2.45,1844.48
L1137,Acer,Nitro 13,2 in 1 Convertible,13.3,3000x2000 Touchscreen 3K,Ryzen 5 7640U,64GB,Intel Iris Xe,Ubuntu 24.04,1.26,1997.46
L1138,Gigabyte,AERO 16,2 in 1 Convertible,15,2880x1800 IPS Touchscreen 2.8K,Core Ultra 9 185H,48GB,AMD Radeon 780M,Ubuntu 24.04,1.58,2505.27
L1139,Apple,MacBook Air 13,Ultrabook,13.3,3200x2000 IPS Touchscreen 3.2K,Apple M3 Max,48GB,Apple M3 10‑core GPU,macOS,1.23,2665.08
L1140,Dell,XPS 13,Business,17,2560x1440 IPS Quad HD,Core Ultra 9 185H,48GB,NVIDIA GeForce RTX 3050,Windows 11,2.46,3034.28
L1141,Dell,Latitude Plus,Notebook,15.6,1920x1080 Touchscreen Full HD,Ryzen 7 7840U,64GB,Apple M3 10‑core GPU,Windows 11 Pro,1.68,2351.51
L1142,Apple,MacBook Pro 15,Workstation,15,1920x1080 Touchscreen Full HD,Apple M3 Max,32GB,Apple M3 10‑core GPU,macOS,1.57,2380.8
L1143,Apple,MacBook Pro 14,Business,16,3200x2000 IPS 3.2K,Apple M3,24GB,Apple M3 10‑core GPU,macOS,1.7,1623.83
L1144,Huawei,MateBook X 7,Business,13.3,2560x1440 IPS Touchscreen Quad HD,Core i5-1340P,8GB,AMD Radeon 760M,ChromeOS,1.28,934.16
L1145,Lenovo,ThinkPad T 15,Chromebook,14.5,1920x1080 IPS Full HD,Ryzen 7 8840U,64GB,Intel Iris Xe,Windows 11 Pro,1.37,2090.81
L1146,Dell,Vostro,2 in 1 Convertible,14,3200x2000 IPS 3.2K,Core Ultra 7 165H,8GB,NVIDIA GeForce RTX 4050,Ubuntu 22.04,1.98,1641.31
L1147,Samsung,Galaxy Book Pro Pro,Netbook,16,1920x1080 IPS Full HD,Core i7-13700H,8GB,Apple M3 10‑core GPU,Windows 11 Pro,1.82,1444.38
L1148,HP,EliteBook G16,Ultrabook,14,3840x2160 Touchscreen 4K UHD,Ryzen 7 7735HS,8GB,Intel Arc iGPU,Windows 11 Pro,1.45,930.75
L1149,Lenovo,IdeaPad Slim 13,Business,16.1,3000x2000 IPS 3K,Core i7-13700H,64GB,Apple M3 10‑core GPU,Windows 11,1.82,2578.41
L1150,LG,Gram 7,Gaming,13.6,3200x2000 IPS 3.2K,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.84,2686.93
L1151,Gigabyte,G6 15,2 in 1 Convertible,13.6,3840x2160 IPS Touchscreen 4K UHD,Core i9-13900H,64GB,AMD Radeon 760M,Windows 11,1.3,2778.45
L1152,Huawei,MateBook D 7,Business,16,3200x2000 IPS 3.2K,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.27,3281.81
L1153,Apple,MacBook Pro,Business,17,2560x1440 IPS Quad HD,Apple M3,16GB,Apple M3 10‑core GPU,macOS,2.14,1405.41
L1154,LG,Gram 13,Business,15.6,1920x1080 Touchscreen Full HD,Ryzen 5 7640U,64GB,AMD Radeon 780M,Windows 11,1.7,2187.97
L1155,Gigabyte,AORUS 13,Gaming,15.6,3000x2000 Touchscreen 3K,Ryzen 7 7735HS,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,1.97,2170.44
L1156,Gigabyte,AERO 14,Gaming,13.3,3840x2160 Touchscreen 4K UHD,Core Ultra 9 185H,64GB,AMD Radeon 760M,ChromeOS,1.27,2809.88
L1157,Microsoft,Surface Laptop Studio 14,Workstation,15.6,3840x2160 IPS Touchscreen 4K UHD,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.12,2916.4
L1158,HP,Envy Pro,Business,16.1,2880x1800 Touchscreen 2.8K,Core i9-13900H,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,2.5,3978.25
L1159,LG,Ultra PC 7,Chromebook,16,3000x2000 IPS 3K,Ryzen 7 7735HS,32GB,Intel Iris Xe,Ubuntu 22.04,1.76,1754.98
L1160,Samsung,Galaxy Book3,Netbook,17,1920x1080 Touchscreen Full HD,Core Ultra 9 185H,24GB,NVIDIA GeForce RTX 4060,Ubuntu 24.04,2.68,2564.6
L1161,Acer,Nitro Plus,Ultrabook,13.3,3200x2000 IPS 3.2K,Core i5-1340P,48GB,Intel Iris Xe,Ubuntu 24.04,1.32,1734.88
L1162,HP,EliteBook X1,Chromebook,16,2560x1440 IPS Quad HD,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 4050,Windows 11,2.32,1730.08
L1163,Gigabyte,G6 15,2 in 1 Convertible,17,3000x2000 IPS 3K,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.78,1933.13
L1164,Acer,Nitro 14,Gaming,16,3000x2000 IPS 3K,Core i7-1360P,48GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.72,2261.86
L1165,Microsoft,Surface Laptop Pro,Business,15.6,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7735HS,24GB,Apple M3 10‑core GPU,Windows 11 Pro,1.7,1570.49
L1166,ASUS,ROG Zephyrus 15,Ultrabook,14.5,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i9-13900H,48GB,NVIDIA GeForce RTX 3050,ChromeOS,1.82,2675.89
L1167,Toshiba,Dynabook Portege Plus,2 in 1 Convertible,15,3840x2160 IPS 4K UHD,Core i7-1360P,16GB,AMD Radeon 760M,Windows 11 Pro,1.51,1473.98
L1168,Toshiba,Dynabook Portege 15,Notebook,14.5,3200x2000 IPS 3.2K,Ryzen 7 7735HS,16GB,AMD Radeon 760M,Windows 11,1.4,1115.41
L1169,Toshiba,Dynabook Portege,Ultrabook,15,3840x2160 IPS 4K UHD,Core i5-1340P,8GB,Intel Arc iGPU,Ubuntu 22.04,1.54,1080.04
L1170,Dell,Alienware m Pro,Chromebook,17,1920x1080 IPS Touchscreen Full HD,Core i7-13700H,8GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,2.64,1871.57
L1171,Microsoft,Surface Laptop Studio X1,Ultrabook,15.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4060,Ubuntu 22.04,2.01,2693.85
L1172,Huawei,MateBook 14 16,Netbook,16,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,48GB,Intel Iris Xe,Windows 11,1.89,1955.61
L1173,MSI,Creator,Gaming,13.3,1920x1080 IPS Full HD,Core i5-1340P,24GB,Intel Iris Xe,Windows 11,1.16,1250.73
L1174,LG,Gram G16,Netbook,13.6,2560x1440 IPS Quad HD,Ryzen 7 8840U,32GB,Intel Arc iGPU,Windows 11 Pro,1.3,1553.68
L1175,Dell,Latitude 16,Workstation,17,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4070,Windows 11,2.65,3102.55
L1176,Huawei,MateBook X X1,Gaming,13.3,2560x1440 Touchscreen Quad HD,Core i7-1360P,24GB,Intel Iris Xe,ChromeOS,1.16,1548.4
L1177,Toshiba,Dynabook Tecra Pro,Notebook,14,2560x1440 IPS Quad HD,Core Ultra 9 185H,48GB,NVIDIA GeForce RTX 3050,Windows 11,1.62,2765.11
L1178,Microsoft,Surface Laptop X1,Workstation,16.1,2560x1440 IPS Quad HD,Ryzen 7 8840U,8GB,Apple M3 10‑core GPU,Windows 11 Pro,1.88,1291.8
L1179,LG,Ultra PC 14,Gaming,15.6,2880x1800 Touchscreen 2.8K,Ryzen 7 8840U,64GB,AMD Radeon 780M,Windows 11 Pro,1.65,2319.26
L1180,Toshiba,Dynabook Tecra G16,Gaming,13.6,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 3050,Windows 11,1.87,2653.9
L1181,HP,Spectre x360 7,2 in 1 Convertible,14.5,2880x1800 IPS Touchscreen 2.8K,Core Ultra 7 165H,8GB,NVIDIA GeForce RTX 4050,Windows 11,2.02,1574.19
L1182,Huawei,MateBook X G16,Notebook,15,2560x1440 IPS Touchscreen Quad HD,Core Ultra 9 185H,16GB,NVIDIA GeForce RTX 4060,Windows 11,2.14,2330.22
L1183,Acer,TravelMate 16,Workstation,16,1920x1080 Touchscreen Full HD,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4070,Windows 11,2.18,2243.01
L1184,Gigabyte,G6 Plus,Notebook,14,2880x1800 IPS Touchscreen 2.8K,Ryzen 5 7640U,16GB,Apple M3 10‑core GPU,Windows 11,1.28,953.04
L1185,LG,Ultra PC Pro,Chromebook,13.6,2560x1440 Touchscreen Quad HD,Ryzen 7 7840U,48GB,Apple M3 10‑core GPU,ChromeOS,1.29,1866.99
L1186,Apple,MacBook Air 15,Business,13.3,3000x2000 IPS 3K,Apple M3,8GB,Apple M3 10‑core GPU,macOS,1.33,1084.49
L1187,Microsoft,Surface Laptop Studio Plus,Chromebook,17,3000x2000 IPS Touchscreen 3K,Ryzen 7 8840U,64GB,Intel Iris Xe,Windows 11 Pro,2.23,2366.46
L1188,Lenovo,Legion X1,Ultrabook,13.3,2560x1440 IPS Quad HD,Ryzen 7 8840U,16GB,AMD Radeon 760M,Windows 11 Pro,1.17,1068.63
L1189,Toshiba,Dynabook Tecra 15,Notebook,13.3,3840x2160 IPS 4K UHD,Core i7-1360P,64GB,Intel Arc iGPU,Windows 11,1.25,2404.99
L1190,Huawei,MateBook 14 15,Ultrabook,14.5,1920x1080 IPS Touchscreen Full HD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.62,2319.62
L1191,HP,Spectre x360 15,Gaming,13.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 9 7940HS,32GB,Intel Iris Xe,Windows 11,1.21,1729.74
L1192,Dell,Inspiron 14,Ultrabook,13.6,3000x2000 IPS Touchscreen 3K,Core i7-13700H,16GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.23,1590.99
L1193,Huawei,MateBook D,Workstation,14.5,2880x1800 Touchscreen 2.8K,Ryzen 7 7840U,48GB,Intel Arc iGPU,Windows 11 Pro,1.48,1786.47
L1194,ASUS,ExpertBook 13,Gaming,15,2560x1440 IPS Quad HD,Core i5-1340P,8GB,Apple M3 10‑core GPU,Windows 11,1.63,1111.78
L1195,Razer,Blade Stealth 14,Gaming,15,2880x1800 IPS 2.8K,Core Ultra 9 185H,64GB,AMD Radeon 780M,Windows 11,1.61,3065.68
L1196,Apple,MacBook Air 15,Gaming,16.1,3840x2160 IPS 4K UHD,Apple M2,16GB,Apple M2 10‑core GPU,macOS,1.99,1375.42
L1197,ASUS,VivoBook X1,Netbook,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,24GB,Intel Iris Xe,Windows 11,2.15,1679.74
L1198,Huawei,MateBook D,Gaming,16.1,1920x1080 Touchscreen Full HD,Core i7-1360P,48GB,Intel Iris Xe,Windows 11 Pro,1.86,2171.63
L1199,Razer,Blade 7,Notebook,16,2880x1800 IPS Touchscreen 2.8K,Core i5-13500H,16GB,NVIDIA GeForce RTX 4060,Windows 11,2.09,1872.33
L1200,Toshiba,Dynabook Tecra 15,Workstation,13.3,2560x1440 IPS Quad HD,Core Ultra 5 125H,48GB,NVIDIA GeForce RTX 4070,ChromeOS,1.73,2458.69
L1201,MSI,Creator Plus,Notebook,15.6,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 8840U,24GB,AMD Radeon 760M,Ubuntu 22.04,1.6,1429.41
L1202,HP,Pavilion 7,Business,13.3,1920x1080 IPS Full HD,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.59,2301.82
L1203,Gigabyte,AERO 7,Gaming,16,3000x2000 IPS 3K,Core i9-13900H,8GB,AMD Radeon 780M,Windows 11,1.82,1862.9
L1204,Dell,Latitude,Chromebook,13.6,2560x1440 IPS Touchscreen Quad HD,Core i5-13500H,32GB,NVIDIA GeForce RTX 3050,Windows 11,1.72,1885.69
L1205,ASUS,ROG Zephyrus Pro,Workstation,16.1,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7840U,8GB,Intel Iris Xe,Windows 11 Pro,1.84,1119.12
L1206,Microsoft,Surface Pro G16,Chromebook,16,3200x2000 Touchscreen 3.2K,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.46,2701.01
L1207,Razer,Blade Stealth 14,Chromebook,15,3840x2160 Touchscreen 4K UHD,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.12,2771.75
L1208,Apple,MacBook Air 15,Business,16,1920x1080 Touchscreen Full HD,Apple M3 Pro,64GB,Apple M3 10‑core GPU,macOS,1.82,2718.16
L1209,Gigabyte,AERO,Chromebook,16.1,3200x2000 Touchscreen 3.2K,Core i5-1340P,8GB,Intel Arc iGPU,Windows 11 Pro,1.92,1120.7
L1210,Microsoft,Surface Laptop Plus,Workstation,13.3,2560x1600 IPS WQXGA (HD quality),Core i7-1360P,16GB,Intel Arc iGPU,Windows 11,1.31,1548.69
